ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day_cat,Day,Pedal
H2-Apo-25-B1-1,1,H2-Apo-25,H2,Apo,C4,25C (ambient),1,21_day,21,439.36
H2-Apo-25-B1-1,2,H2-Apo-32,H2,Apo,A1,32C (heat stress),1,3_day,3,453.42
H2-Apo-25-B1-1,2,H2-Apo-32,H2,Apo,A1,32C (heat stress),1,7_day,7,433.64
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A1,32C (heat stress),1,14_day,14,416.3
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A1,32C (heat stress),1,21_day,21,385.26
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A2,32C (heat stress),1,3_day,3,515.35
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A2,32C (heat stress),1,7_day,7,463.45
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A2,32C (heat stress),1,14_day,14,358.83
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A2,32C (heat stress),1,21_day,21,323.88
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A3,32C (heat stress),1,3_day,3,378.86
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A3,32C (heat stress),1,7_day,7,299.6
H2-Apo-25-B2-1,2,H2-Apo-32,H2,Apo,A3,32C (heat stress),1,14_day,14,289.91
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,A3,32C (heat stress),1,21_day,21,
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,A4,32C (heat stress),1,3_day,3,701.81
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,A4,32C (heat stress),1,7_day,7,560.23
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,A4,32C (heat stress),1,14_day,14,369.24
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,A4,32C (heat stress),1,21_day,21,348.39
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,B1,32C (heat stress),1,3_day,3,
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,B1,32C (heat stress),1,7_day,7,
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,B1,32C (heat stress),1,14_day,14,
H2-Apo-25-B3-1,2,H2-Apo-32,H2,Apo,B1,32C (heat stress),1,21_day,21,
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B2,32C (heat stress),1,3_day,3,449.37
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B2,32C (heat stress),1,7_day,7,369.38
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B2,32C (heat stress),1,14_day,14,187.73
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B2,32C (heat stress),1,21_day,21,158.99
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B3,32C (heat stress),1,3_day,3,450.06
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B3,32C (heat stress),1,7_day,7,338.56
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B3,32C (heat stress),1,14_day,14,169.16
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B3,32C (heat stress),1,21_day,21,145.82
H2-Apo-25-B4-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,3_day,3,678.63
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,7_day,7,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,14_day,14,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,21_day,21,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,3_day,3,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,7_day,7,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,14_day,14,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,21_day,21,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,3_day,3,
H2-Apo-25-C1-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,7_day,7,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,14_day,14,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,21_day,21,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,3_day,3,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,7_day,7,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,14_day,14,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,21_day,21,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,3_day,3,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,7_day,7,
H2-Apo-25-C2-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,14_day,14,
H2-Apo-25-C3-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,21_day,21,
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,3_day,3,411.95
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,7_day,7,379.34
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,14_day,14,223.77
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,21_day,21,217.27
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,3_day,3,408.42
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,7_day,7,
