"test_family","marker","state","time","contrast","group1","group2","n1","n2","statistic","df","p_raw","p_fdr","signif_raw","signif_fdr","heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"5dpl","State: pairwise within time×heat","Apo","Sym",4,9,NA,NA,0.298,0.341,"ns","ns","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"5dpl","State: pairwise within time×heat","Inoc","Sym",4,9,NA,NA,0.00313,0.00835,"**","**","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Apo","Inoc",6,4,NA,NA,0.0854,0.114,"ns","ns","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Apo","Sym",6,6,NA,NA,0.0277,0.0443,"*","*","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Inoc","Sym",4,6,NA,NA,0.00131,0.00524,"**","**","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"14dpl","State: pairwise within time×heat","Apo","Inoc",3,3,NA,NA,0.00801,0.0183,"**","*","Control"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"2dpl","State: pairwise within time×heat","Apo","Sym",6,6,NA,NA,0.0123,0.0219,"*","*","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"5dpl","State: pairwise within time×heat","Apo","Inoc",5,5,NA,NA,9.77e-06,7.82e-05,"***","***","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"5dpl","State: pairwise within time×heat","Apo","Sym",5,8,NA,NA,0.578,0.617,"ns","ns","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"5dpl","State: pairwise within time×heat","Inoc","Sym",5,8,NA,NA,1.18e-06,1.89e-05,"***","***","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Apo","Inoc",3,5,NA,NA,0.0111,0.0219,"*","*","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Apo","Sym",3,8,NA,NA,0.242,0.298,"ns","ns","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"8dpl","State: pairwise within time×heat","Inoc","Sym",5,8,NA,NA,0.000159,0.000848,"***","***","Heat"
"State (Apo/Inoc/Sym pairwise)","Caspase",NA,"14dpl","State: pairwise within time×heat","Apo","Inoc",3,2,NA,NA,0.00227,0.00726,"**","**","Heat"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","14dpl",3,3,NA,NA,0.0118,0.0708,"*","ns","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","5dpl",3,3,NA,NA,0.0246,0.0843,"*","ns","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","8dpl",3,5,NA,NA,0.000911,0.0219,"***","*","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","5dpl","14dpl",3,3,NA,NA,0.676,0.773,"ns","ns","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","5dpl","8dpl",3,5,NA,NA,0.121,0.29,"ns","ns","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","8dpl","14dpl",5,3,NA,NA,0.253,0.432,"ns","ns","Control"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","14dpl",6,3,NA,NA,0.816,0.84,"ns","ns","Heat"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","5dpl",6,5,NA,NA,0.569,0.695,"ns","ns","Heat"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","2dpl","8dpl",6,3,NA,NA,0.141,0.308,"ns","ns","Heat"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","5dpl","14dpl",5,3,NA,NA,0.803,0.84,"ns","ns","Heat"
"Time (pairwise)","EdU","Apo",NA,"Time: pairwise within state×heat","5dpl","8dpl",5,3,NA,NA,0.321,0.453,"ns","ns","Heat"
