"Source","Sum_Sq","df","F_value","p_value"
"treatment",2134.82261069647,1,51.2495390244614,"< 1e-04"
"day",787.489834987035,4,4.72621130525313,"0.001148"
"treatment:day",1919.35228866168,4,11.5192147027341,"< 1e-04"
"Residuals",8414.40090134,202,NA,"NA"
