"Day","Contrast","Estimate","SE","df","t_ratio","p_value"
"0","(Sym-Control) - (Sym-HS)",-1.45661453788888,1.86313915222476,202,-0.781806627889036,"0.4352436"
"1","(Sym-Control) - (Sym-HS)",4.16984482702083,1.86313915222476,202,2.23807482229207,"0.0263078"
"5","(Sym-Control) - (Sym-HS)",7.87685812494425,1.981927308427,202,3.97434259644764,"< 1e-04"
"7","(Sym-Control) - (Sym-HS)",7.79276555276051,2.08305289795795,202,3.74103104169841,"0.0002388"
"14","(Sym-Control) - (Sym-HS)",18.0928028468237,2.29935597188807,202,7.86863933554714,"< 1e-04"
