"ID","plate","treatment","line","symbiosis","well","temp","day","tent_count","day_cat"
"H2-SYM-1_A3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A3","25C (ambient)",11,8,"day_11"
"H2-SYM-1_A3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A3","25C (ambient)",12,8,"day_12"
"H2-SYM-1_A3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A3","25C (ambient)",13,8,"day_13"
"H2-SYM-1_A3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A3","25C (ambient)",14,8,"day_14"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",0,0,"day_0"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",1,0,"day_1"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",2,0,"day_2"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",3,0,"day_3"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",4,0,"day_4"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",5,0,"day_5"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",6,0,"day_6"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",7,1,"day_7"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",8,3,"day_8"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",9,6,"day_9"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",10,6,"day_10"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",11,6,"day_11"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",12,7,"day_12"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",13,7,"day_13"
"H2-SYM-1_A4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","A4","25C (ambient)",14,7,"day_14"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",0,0,"day_0"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",1,0,"day_1"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",2,0,"day_2"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",3,0,"day_3"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",4,0,"day_4"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",5,0,"day_5"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",6,0,"day_6"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",7,2,"day_7"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",8,5,"day_8"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",9,5,"day_9"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",10,5,"day_10"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",11,7,"day_11"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",12,8,"day_12"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",13,8,"day_13"
"H2-SYM-1_B1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B1","25C (ambient)",14,8,"day_14"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",0,0,"day_0"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",1,0,"day_1"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",2,0,"day_2"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",3,0,"day_3"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",4,0,"day_4"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",5,0,"day_5"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",6,1,"day_6"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",7,1,"day_7"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",8,4,"day_8"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",9,5,"day_9"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",10,6,"day_10"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",11,6,"day_11"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",12,7,"day_12"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",13,7,"day_13"
"H2-SYM-1_B2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B2","25C (ambient)",14,7,"day_14"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",0,0,"day_0"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",1,0,"day_1"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",2,0,"day_2"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",3,0,"day_3"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",4,0,"day_4"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",5,NA,"day_5"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",6,NA,"day_6"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",7,NA,"day_7"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",8,NA,"day_8"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",9,NA,"day_9"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",10,NA,"day_10"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",11,NA,"day_11"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",12,NA,"day_12"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",13,NA,"day_13"
"H2-SYM-1_B3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B3","25C (ambient)",14,NA,"day_14"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",0,0,"day_0"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",1,0,"day_1"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",2,0,"day_2"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",3,0,"day_3"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",4,0,"day_4"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",5,0,"day_5"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",6,0,"day_6"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",7,1,"day_7"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",8,1,"day_8"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",9,2,"day_9"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",10,2,"day_10"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",11,3,"day_11"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",12,4,"day_12"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",13,4,"day_13"
"H2-SYM-1_B4_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","B4","25C (ambient)",14,4,"day_14"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",0,0,"day_0"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",1,0,"day_1"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",2,0,"day_2"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",3,0,"day_3"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",4,0,"day_4"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",5,0,"day_5"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",6,0,"day_6"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",7,2,"day_7"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",8,3,"day_8"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",9,3,"day_9"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",10,4,"day_10"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",11,5,"day_11"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",12,5,"day_12"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",13,5,"day_13"
"H2-SYM-1_C1_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C1","25C (ambient)",14,5,"day_14"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",0,0,"day_0"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",1,0,"day_1"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",2,0,"day_2"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",3,0,"day_3"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",4,0,"day_4"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",5,0,"day_5"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",6,0,"day_6"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",7,0,"day_7"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",8,0,"day_8"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",9,1,"day_9"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",10,4,"day_10"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",11,6,"day_11"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",12,6,"day_12"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",13,6,"day_13"
"H2-SYM-1_C2_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C2","25C (ambient)",14,6,"day_14"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",0,0,"day_0"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",1,0,"day_1"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",2,0,"day_2"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",3,0,"day_3"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",4,0,"day_4"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",5,0,"day_5"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",6,0,"day_6"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",7,0,"day_7"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",8,0,"day_8"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",9,3,"day_9"
"H2-SYM-1_C3_X3A","H2-Sym-1","H2-SYM-25C (a)","H2","Sym","C3","25C (ambient)",10,3,"day_10"
