,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
6,0.517,SH_8dpl_sample4_MAX_C1.tif,SH_8dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.021,4.029,EdU,Sym_HS,8dpl,
7,0.517,SH_8dpl_sample4_MAX_C1.tif,SH_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
8,0.517,SH_8dpl_sample4_MAX_C1.tif,SH_8dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.016,3.154,Caspase,Sym_HS,8dpl,
9,0.32,SH_8dpl_sample5_MAX_C1.tif,SH_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
10,0.32,SH_8dpl_sample5_MAX_C1.tif,SH_8dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.051,15.826,EdU,Sym_HS,8dpl,
11,0.32,SH_8dpl_sample5_MAX_C1.tif,SH_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
12,0.32,SH_8dpl_sample5_MAX_C1.tif,SH_8dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.004,1.338,Caspase,Sym_HS,8dpl,
13,0.336,SH_8dpl_sample6_MAX_C1.tif,SH_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
14,0.336,SH_8dpl_sample6_MAX_C1.tif,SH_8dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.004,1.272,EdU,Sym_HS,8dpl,
15,0.336,SH_8dpl_sample6_MAX_C1.tif,SH_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
16,0.336,SH_8dpl_sample6_MAX_C1.tif,SH_8dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.008,2.274,Caspase,Sym_HS,8dpl,
1,0.614,AC_2dpl_sample1_MAX_C1.tif,AC_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
2,0.614,AC_2dpl_sample1_MAX_C1.tif,AC_2dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.004,0.717,EdU,Apo_Control,2dpl,
3,0.614,AC_2dpl_sample1_MAX_C1.tif,AC_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
4,0.614,AC_2dpl_sample1_MAX_C1.tif,AC_2dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.012,1.978,Caspase,Apo_Control,2dpl,
5,0.086,AC_2dpl_sample2_MAX_C1.tif,AC_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
6,0.086,AC_2dpl_sample2_MAX_C1.tif,AC_2dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.001,1.649,EdU,Apo_Control,2dpl,
7,0.086,AC_2dpl_sample2_MAX_C1.tif,AC_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
8,0.086,AC_2dpl_sample2_MAX_C1.tif,AC_2dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.005,6.036,Caspase,Apo_Control,2dpl,
9,0.057,AC_2dpl_sample3_MAX_C1.tif,AC_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
10,0.057,AC_2dpl_sample3_MAX_C1.tif,AC_2dpl_sample3_MAX_C4.tif,Second,Threshold Area,4.75E-04,0.828,EdU,Apo_Control,2dpl,
11,0.057,AC_2dpl_sample3_MAX_C1.tif,AC_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,2dpl,
12,0.057,AC_2dpl_sample3_MAX_C1.tif,AC_2dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.021,37.387,Caspase,Apo_Control,2dpl,
13,0.106,AC_5dpl_sample1_MAX_C1.tif,AC_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,5dpl,
14,0.106,AC_5dpl_sample1_MAX_C1.tif,AC_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.011,10.54,EdU,Apo_Control,5dpl,
15,0.106,AC_5dpl_sample1_MAX_C1.tif,AC_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,5dpl,
16,0.106,AC_5dpl_sample1_MAX_C1.tif,AC_5dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.007,6.408,Caspase,Apo_Control,5dpl,
17,0.08,AC_5dpl_sample2_MAX_C1.tif,AC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,5dpl,
18,0.08,AC_5dpl_sample2_MAX_C1.tif,AC_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.002,1.889,EdU,Apo_Control,5dpl,
19,0.08,AC_5dpl_sample2_MAX_C1.tif,AC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,5dpl,
20,0.08,AC_5dpl_sample2_MAX_C1.tif,AC_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.012,14.383,Caspase,Apo_Control,5dpl,
21,0.14,AC_5dpl_sample2_trash_MAX_C1.tif,AC_5dpl_sample2_trash_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
22,0.14,AC_5dpl_sample2_trash_MAX_C1.tif,AC_5dpl_sample2_trash_MAX_C4.tif,Second,Threshold Area,8.10E-04,0.58,EdU,Sym_HS,5dpl,
23,0.14,AC_5dpl_sample2_trash_MAX_C1.tif,AC_5dpl_sample2_trash_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
24,0.14,AC_5dpl_sample2_trash_MAX_C1.tif,AC_5dpl_sample2_trash_MAX_C3.tif,Second,Threshold Area,0.01,7.04,Caspase,Sym_HS,5dpl,
25,0.086,AC_5dpl_sample3_MAX_C1.tif,AC_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,5dpl,
26,0.086,AC_5dpl_sample3_MAX_C1.tif,AC_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.005,5.581,EdU,Apo_Control,5dpl,
27,0.086,AC_5dpl_sample3_MAX_C3.tif,AC_5dpl_sample3_MAX_C3.tif,Hoechst,ROI Area,0,0,Caspase,Apo_Control,5dpl,
28,0.086,AC_5dpl_sample3_MAX_C3.tif,AC_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,3.23E-05,0.037,Caspase,Apo_Control,5dpl,
29,0.207,AC_8dpl_sample1_MAX_C1.tif,AC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
30,0.207,AC_8dpl_sample1_MAX_C1.tif,AC_8dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.021,10.185,EdU,Apo_Control,8dpl,
31,0.207,AC_8dpl_sample1_MAX_C1.tif,AC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
32,0.207,AC_8dpl_sample1_MAX_C1.tif,AC_8dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.011,5.502,Caspase,Apo_Control,8dpl,
33,0.106,AC_8dpl_sample2_MAX_C1.tif,AC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
34,0.106,AC_8dpl_sample2_MAX_C1.tif,AC_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.009,8.3,EdU,Apo_Control,8dpl,
35,0.106,AC_8dpl_sample2_MAX_C1.tif,AC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
36,0.106,AC_8dpl_sample2_MAX_C1.tif,AC_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.011,10.831,Caspase,Apo_Control,8dpl,
37,0.081,AC_8dpl_sample3_MAX_C1.tif,AC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
38,0.081,AC_8dpl_sample3_MAX_C1.tif,AC_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.006,6.936,EdU,Apo_Control,8dpl,
39,0.081,AC_8dpl_sample3_MAX_C1.tif,AC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
40,0.081,AC_8dpl_sample3_MAX_C1.tif,AC_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.012,14.939,Caspase,Apo_Control,8dpl,
41,0.102,AC_8dpl_sample4_MAX_C1.tif,AC_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
42,0.102,AC_8dpl_sample4_MAX_C1.tif,AC_8dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.009,8.586,EdU,Apo_Control,8dpl,
43,0.102,AC_8dpl_sample4_MAX_C3.tif,AC_8dpl_sample4_MAX_C3.tif,Hoechst,ROI Area,0,0,Caspase,Apo_Control,8dpl,
44,0.102,AC_8dpl_sample4_MAX_C3.tif,AC_8dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.004,3.799,Caspase,Apo_Control,8dpl,
45,0.152,AC_8dpl_sample5_MAX_C1.tif,AC_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
46,0.152,AC_8dpl_sample5_MAX_C1.tif,AC_8dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.015,10.163,EdU,Apo_Control,8dpl,
47,0.152,AC_8dpl_sample5_MAX_C1.tif,AC_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,8dpl,
48,0.152,AC_8dpl_sample5_MAX_C1.tif,AC_8dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.032,21.251,Caspase,Apo_Control,8dpl,
49,0.085,AC_14dpl_sample1_MAX_C1.tif,AC_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
50,0.085,AC_14dpl_sample1_MAX_C1.tif,AC_14dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.008,8.833,EdU,Apo_Control,14dpl,
51,0.085,AC_14dpl_sample1_MAX_C1.tif,AC_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
52,0.085,AC_14dpl_sample1_MAX_C1.tif,AC_14dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.004,4.312,Caspase,Apo_Control,14dpl,
53,0.206,AC_14dpl_sample2_MAX_C1.tif,AC_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
54,0.206,AC_14dpl_sample2_MAX_C1.tif,AC_14dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.013,6.294,EdU,Apo_Control,14dpl,
55,0.206,AC_14dpl_sample2_MAX_C1.tif,AC_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
56,0.206,AC_14dpl_sample2_MAX_C1.tif,AC_14dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.011,5.548,Caspase,Apo_Control,14dpl,
57,0.178,AC_14dpl_sample3_MAX_C1.tif,AC_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
58,0.178,AC_14dpl_sample3_MAX_C1.tif,AC_14dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.009,5.297,EdU,Apo_Control,14dpl,
59,0.178,AC_14dpl_sample3_MAX_C1.tif,AC_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_Control,14dpl,
60,0.178,AC_14dpl_sample3_MAX_C1.tif,AC_14dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.008,4.5,Caspase,Apo_Control,14dpl,
61,0.092,AH_2dpl_sample1_MAX_C1.tif,AH_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
62,0.092,AH_2dpl_sample1_MAX_C1.tif,AH_2dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.015,15.826,EdU,Apo_HS,2dpl,
63,0.092,AH_2dpl_sample1_MAX_C1.tif,AH_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
64,0.092,AH_2dpl_sample1_MAX_C1.tif,AH_2dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.025,27.33,Caspase,Apo_HS,2dpl,
65,0.107,AH_2dpl_sample2_MAX_C1.tif,AH_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
66,0.107,AH_2dpl_sample2_MAX_C1.tif,AH_2dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.012,11.482,EdU,Apo_HS,2dpl,
67,0.107,AH_2dpl_sample2_MAX_C1.tif,AH_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
68,0.107,AH_2dpl_sample2_MAX_C1.tif,AH_2dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.018,16.539,Caspase,Apo_HS,2dpl,
69,0.056,AH_2dpl_sample3_MAX_C1.tif,AH_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
70,0.056,AH_2dpl_sample3_MAX_C1.tif,AH_2dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.008,13.616,EdU,Apo_HS,2dpl,
71,0.056,AH_2dpl_sample3_MAX_C1.tif,AH_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
72,0.056,AH_2dpl_sample3_MAX_C1.tif,AH_2dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.016,29.083,Caspase,Apo_HS,2dpl,
73,0.112,AH_2dpl_sample4_MAX_C1.tif,AH_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
74,0.112,AH_2dpl_sample4_MAX_C1.tif,AH_2dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.007,6.113,EdU,Apo_HS,2dpl,
75,0.112,AH_2dpl_sample4_MAX_C1.tif,AH_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
76,0.112,AH_2dpl_sample4_MAX_C1.tif,AH_2dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.005,4.414,Caspase,Apo_HS,2dpl,
77,0.043,AH_2dpl_sample5_MAX_C1.tif,AH_2dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
78,0.043,AH_2dpl_sample5_MAX_C1.tif,AH_2dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.007,15.953,EdU,Apo_HS,2dpl,
79,0.043,AH_2dpl_sample5_MAX_C1.tif,AH_2dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
80,0.043,AH_2dpl_sample5_MAX_C1.tif,AH_2dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.002,3.667,Caspase,Apo_HS,2dpl,
81,0.195,AH_2dpl_sample6_MAX_C1.tif,AH_2dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
82,0.195,AH_2dpl_sample6_MAX_C1.tif,AH_2dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.015,7.64,EdU,Apo_HS,2dpl,
83,0.195,AH_2dpl_sample6_MAX_C1.tif,AH_2dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,2dpl,
84,0.195,AH_2dpl_sample6_MAX_C1.tif,AH_2dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.044,22.778,Caspase,Apo_HS,2dpl,
1,0.128,AH_5dpl_sample1_MAX_C1.tif,AH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
2,0.128,AH_5dpl_sample1_MAX_C1.tif,AH_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.018,14.287,EdU,Apo_HS,5dpl,
3,0.128,AH_5dpl_sample1_MAX_C1.tif,AH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
4,0.128,AH_5dpl_sample1_MAX_C1.tif,AH_5dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.019,14.98,Caspase,Apo_HS,5dpl,
5,0.136,AH_5dpl_sample2_MAX_C1.tif,AH_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
6,0.136,AH_5dpl_sample2_MAX_C1.tif,AH_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.031,23.037,EdU,Apo_HS,5dpl,
7,0.136,AH_5dpl_sample2_MAX_C1.tif,AH_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
8,0.136,AH_5dpl_sample2_MAX_C1.tif,AH_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.006,4.407,Caspase,Apo_HS,5dpl,
9,0.455,AH_5dpl_sample3_MAX_C1.tif,AH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
10,0.455,AH_5dpl_sample3_MAX_C1.tif,AH_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.002,0.381,EdU,Apo_HS,5dpl,
11,0.455,AH_5dpl_sample3_MAX_C1.tif,AH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
12,0.455,AH_5dpl_sample3_MAX_C1.tif,AH_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.004,0.847,Caspase,Apo_HS,5dpl,
13,0.224,AH_5dpl_sample4_MAX_C1.tif,AH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
14,0.224,AH_5dpl_sample4_MAX_C1.tif,AH_5dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.019,8.659,EdU,Apo_HS,5dpl,
15,0.224,AH_5dpl_sample4_MAX_C1.tif,AH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
16,0.224,AH_5dpl_sample4_MAX_C1.tif,AH_5dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.023,10.3,Caspase,Apo_HS,5dpl,
17,0.097,AH_5dpl_sample5_MAX_C1.tif,AH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
18,0.097,AH_5dpl_sample5_MAX_C1.tif,AH_5dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.002,1.973,EdU,Apo_HS,5dpl,
19,0.097,AH_5dpl_sample5_MAX_C1.tif,AH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,5dpl,
20,0.097,AH_5dpl_sample5_MAX_C1.tif,AH_5dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.001,1.404,Caspase,Apo_HS,5dpl,
21,0.138,AH_8dpl_sample1_MAX_C1.tif,AH_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
22,0.138,AH_8dpl_sample1_MAX_C1.tif,AH_8dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.009,6.838,EdU,Apo_HS,8dpl,
23,0.138,AH_8dpl_sample1_MAX_C1.tif,AH_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
24,0.138,AH_8dpl_sample1_MAX_C1.tif,AH_8dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.021,15.164,Caspase,Apo_HS,8dpl,
25,0.25,AH_8dpl_sample2_MAX_C1.tif,AH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
26,0.25,AH_8dpl_sample2_MAX_C1.tif,AH_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.014,5.645,EdU,Apo_HS,8dpl,
27,0.25,AH_8dpl_sample2_MAX_C1.tif,AH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
28,0.25,AH_8dpl_sample2_MAX_C1.tif,AH_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.012,4.739,Caspase,Apo_HS,8dpl,
29,0.103,AH_8dpl_sample3_MAX_C1.tif,AH_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
30,0.103,AH_8dpl_sample3_MAX_C1.tif,AH_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.003,3.055,EdU,Apo_HS,8dpl,
31,0.103,AH_8dpl_sample3_MAX_C1.tif,AH_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
32,0.103,AH_8dpl_sample3_MAX_C1.tif,AH_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.004,3.471,Caspase,Apo_HS,8dpl,
33,0.04,AH_8dpl_sample3_MAX_C1-1.tif,AH_8dpl_sample3_MAX_C1-1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,
34,0.04,AH_8dpl_sample3_MAX_C1-1.tif,AH_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.009,23.746,EdU,Apo_HS,8dpl,
35,0.04,AH_8dpl_sample3_MAX_C1-1.tif,AH_8dpl_sample3_MAX_C1-1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,8dpl,Different anemone on side
36,0.04,AH_8dpl_sample3_MAX_C1-1.tif,AH_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,3.47E-04,0.868,Caspase,Apo_HS,8dpl,Different anemone on side
1,0.063,AH_14dpl_sample1_MAX_C1.tif,AH_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
2,0.063,AH_14dpl_sample1_MAX_C1.tif,AH_14dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.008,12.385,EdU,Apo_HS,14dpl,
3,0.063,AH_14dpl_sample1_MAX_C1.tif,AH_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
4,0.063,AH_14dpl_sample1_MAX_C1.tif,AH_14dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.012,19.667,Caspase,Apo_HS,14dpl,
5,0.181,AH_14dpl_sample2_MAX_C1.tif,AH_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
6,0.181,AH_14dpl_sample2_MAX_C1.tif,AH_14dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.013,7.13,EdU,Apo_HS,14dpl,
7,0.181,AH_14dpl_sample2_MAX_C1.tif,AH_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
8,0.181,AH_14dpl_sample2_MAX_C1.tif,AH_14dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.038,20.787,Caspase,Apo_HS,14dpl,
9,0.128,AH_14dpl_sample3_MAX_C1.tif,AH_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
10,0.128,AH_14dpl_sample3_MAX_C1.tif,AH_14dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.016,12.802,EdU,Apo_HS,14dpl,
11,0.128,AH_14dpl_sample3_MAX_C1.tif,AH_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Apo_HS,14dpl,
12,0.128,AH_14dpl_sample3_MAX_C1.tif,AH_14dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.031,24.001,Caspase,Apo_HS,14dpl,
1,0.152,IC_5dpl_sample1_MAX_C1.tif,IC_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
2,0.152,IC_5dpl_sample1_MAX_C1.tif,IC_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.012,7.993,EdU,Inoc_Control,5dpl,
3,0.152,IC_5dpl_sample1_MAX_C1.tif,IC_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
4,0.152,IC_5dpl_sample1_MAX_C1.tif,IC_5dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.021,13.985,Caspase,Inoc_Control,5dpl,
5,0.135,IC_5dpl_sample2_MAX_C1.tif,IC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
6,0.135,IC_5dpl_sample2_MAX_C1.tif,IC_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.028,20.605,EdU,Inoc_Control,5dpl,
7,0.135,IC_5dpl_sample2_MAX_C1.tif,IC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
8,0.135,IC_5dpl_sample2_MAX_C1.tif,IC_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.015,11.441,Caspase,Inoc_Control,5dpl,
9,0.087,IC_5dpl_sample3_MAX_C1.tif,IC_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
10,0.087,IC_5dpl_sample3_MAX_C1.tif,IC_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.014,15.729,EdU,Inoc_Control,5dpl,
11,0.087,IC_5dpl_sample3_MAX_C1.tif,IC_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
12,0.087,IC_5dpl_sample3_MAX_C1.tif,IC_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.011,13.161,Caspase,Inoc_Control,5dpl,
13,0.121,IC_5dpl_sample4_MAX_C1.tif,IC_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
14,0.121,IC_5dpl_sample4_MAX_C1.tif,IC_5dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.006,5.276,EdU,Inoc_Control,5dpl,
15,0.121,IC_5dpl_sample4_MAX_C1.tif,IC_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,5dpl,
16,0.121,IC_5dpl_sample4_MAX_C1.tif,IC_5dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.007,5.472,Caspase,Inoc_Control,5dpl,
17,0.153,IC_8dpl_sample1_MAX_C1.tif,IC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
18,0.153,IC_8dpl_sample1_MAX_C1.tif,IC_8dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.017,10.813,EdU,Inoc_Control,8dpl,
19,0.153,IC_8dpl_sample1_MAX_C1.tif,IC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
