,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,notes,plate,sym,temp,treatment,day,"days 0-7,14",,calculation
93,Snap-9586.czi,164.02,350.907,201,3670,0,65535,Tentacle Area,0,,2,Sym,Control,Sym-Control,0,,,0
94,Snap-9585.czi,25.493,516.724,308,2070,308,65535,Symbiont Area,15.543,,2,Sym,Control,Sym-Control,0,,,15.54261675
95,Snap-9588.czi,73.844,463.512,300,2081,0,65535,Tentacle Area,0,,2,Sym,Control,Sym-Control,0,,,0
96,Snap-9587.czi,21.702,644.504,398,2314,398,65535,Symbiont Area,29.39,,2,Sym,Control,Sym-Control,0,,,29.38898218
97,Snap-9590.czi,86.334,454.71,289,1546,0,65535,Tentacle Area,0,,2,Sym,Control,Sym-Control,0,,,0
98,Snap-9589.czi,14.981,611.164,372,2791,372,65535,Symbiont Area,17.352,,2,Sym,Control,Sym-Control,0,,,17.35237566
99,Snap-9592.czi,83.063,273.751,130,1775,0,65535,Tentacle Area,0,,2,Sym,Control,Sym-Control,0,,,0
100,Snap-9591.czi,19.065,600.132,367,3600,367,65535,Symbiont Area,22.953,,2,Sym,Control,Sym-Control,0,,,22.95245777
101,Snap-9643.czi,72.985,216.22,117,639,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
102,Snap-9642.czi,16.069,935.387,547,2031,547,65535,Symbiont Area,22.017,,3,Sym,HS,Sym-HS,0,,,22.01685278
153,Snap-9645.czi,160.671,392.795,209,3142,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
154,Snap-9644.czi,32.25,620.65,371,1982,371,65535,Symbiont Area,20.072,,3,Sym,HS,Sym-HS,0,,,20.07207274
105,Snap-9647.czi,90.506,156.348,92,519,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
106,Snap-9646.czi,19.292,944.223,556,2443,556,65535,Symbiont Area,21.316,,3,Sym,HS,Sym-HS,0,,,21.31571388
107,Snap-9649.czi,108.057,431.587,253,2535,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
108,Snap-9648.czi,30.602,666.604,407,2250,407,65535,Symbiont Area,28.32,,3,Sym,HS,Sym-HS,0,,,28.32023839
109,Snap-9651.czi,147.832,258.954,112,1766,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
110,Snap-9650.czi,31.086,799.61,483,2669,483,65535,Symbiont Area,21.028,,3,Sym,HS,Sym-HS,0,,,21.02792359
111,Snap-9655.czi,28.149,208.506,109,712,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
112,Snap-9654.czi,7.846,869.274,532,2350,532,65535,Symbiont Area,27.874,,3,Sym,HS,Sym-HS,0,,,27.87310384
113,Snap-9657.czi,30.2,525.85,351,2231,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
114,Snap-9656.czi,8.706,768.594,478,2891,478,65535,Symbiont Area,28.828,,3,Sym,HS,Sym-HS,0,,,28.82781457
115,Snap-9659.czi,142.068,219.785,92,1224,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
116,Snap-9658.czi,32.469,774.321,471,2931,471,65535,Symbiont Area,22.855,,3,Sym,HS,Sym-HS,0,,,22.85454853
117,Snap-9661.czi,81.267,474.859,309,2671,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
118,Snap-9660.czi,26.995,865.254,551,2755,551,65535,Symbiont Area,33.218,,3,Sym,HS,Sym-HS,0,,,33.21766523
119,Snap-9663.czi,35.143,554.33,395,1541,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
120,Snap-9662.czi,10.794,878.826,577,2492,577,65535,Symbiont Area,30.714,,3,Sym,HS,Sym-HS,0,,,30.71450929
121,Snap-9665.czi,32.433,185.062,97,796,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
122,Snap-9664.czi,5.8,1014.129,608,2839,608,65535,Symbiont Area,17.883,,3,Sym,HS,Sym-HS,0,,,17.88302038
123,Snap-9667.czi,23.147,545.547,356,3457,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
124,Snap-9666.czi,8.702,1183.336,750,3018,750,65535,Symbiont Area,37.595,,3,Sym,HS,Sym-HS,0,,,37.59450469
125,Snap-9669.czi,19.974,293.371,163,1225,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
126,Snap-9668.czi,8.721,1199.678,768,2440,768,65535,Symbiont Area,43.66,,3,Sym,HS,Sym-HS,0,,,43.66176029
131,Snap-9671.czi,34.018,558.672,405,1420,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
132,Snap-9670.czi,9.009,619.902,382,2345,382,65535,Symbiont Area,26.483,,3,Sym,HS,Sym-HS,0,,,26.48303839
133,Snap-9673.czi,96.308,681.362,173,2456,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
134,Snap-9672.czi,22.063,1065.56,653,2484,653,65535,Symbiont Area,22.908,,3,Sym,HS,Sym-HS,0,,,22.90879262
135,Snap-9675.czi,21.282,612.008,399,3840,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
136,Snap-9674.czi,11.013,1329.634,861,2569,861,65535,Symbiont Area,51.748,,3,Sym,HS,Sym-HS,0,,,51.74795602
137,Snap-9677.czi,45.814,251.382,139,1302,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
138,Snap-9676.czi,11.443,779.898,479,3325,479,65535,Symbiont Area,24.976,,3,Sym,HS,Sym-HS,0,,,24.97708124
139,Snap-9679.czi,10.966,675.908,494,3306,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
140,Snap-9678.czi,4.325,1532.95,958,3492,958,65535,Symbiont Area,39.439,,3,Sym,HS,Sym-HS,0,,,39.44008754
141,Snap-9681.czi,119.352,367.493,212,2409,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
142,Snap-9680.czi,36.719,642.665,403,1902,403,65535,Symbiont Area,30.765,,3,Sym,HS,Sym-HS,0,,,30.76529928
143,Snap-9683.czi,52.569,566.162,370,3796,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
144,Snap-9682.czi,17.961,850.08,531,2789,531,65535,Symbiont Area,34.167,,3,Sym,HS,Sym-HS,0,,,34.166524
145,Snap-9685.czi,27.996,227.887,137,667,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
146,Snap-9684.czi,6.699,1157.41,696,3026,696,65535,Symbiont Area,23.927,,3,Sym,HS,Sym-HS,0,,,23.92841835
147,Snap-9687.czi,64.897,464.814,293,2869,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
148,Snap-9686.czi,19.472,496.04,314,1866,314,65535,Symbiont Area,30.005,,3,Sym,HS,Sym-HS,0,,,30.00446862
149,Snap-9689.czi,52.628,400.055,254,1382,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
150,Snap-9688.czi,11.736,808.674,492,2871,492,65535,Symbiont Area,22.3,,3,Sym,HS,Sym-HS,0,,,22.29991639
151,Snap-9643.czi,68.647,216.092,117,1631,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
152,Snap-9642.czi,16.445,938.253,547,2031,547,65535,Symbiont Area,23.957,,3,Sym,HS,Sym-HS,0,,,23.95589028
153,Snap-9645.czi,160.671,392.795,209,3142,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
154,Snap-9644.czi,32.25,620.65,371,1982,371,65535,Symbiont Area,20.072,,3,Sym,HS,Sym-HS,0,,,20.07207274
155,Snap-9681.czi,119.245,371.682,212,2213,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
156,Snap-9680.czi,37.47,637.232,395,1902,395,65535,Symbiont Area,31.422,,3,Sym,HS,Sym-HS,0,,,31.42270116
157,Snap-9683.czi,51.077,560.355,370,3878,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
158,Snap-9682.czi,14.482,897.277,575,2789,575,65535,Symbiont Area,28.354,,3,Sym,HS,Sym-HS,0,,,28.35327055
159,Snap-9685.czi,32.482,255.094,137,856,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
160,Snap-9684.czi,7.942,1109.394,667,3312,667,65535,Symbiont Area,24.45,,3,Sym,HS,Sym-HS,0,,,24.45046487
161,Snap-9687.czi,66.785,469.319,293,3812,0,65535,Tentacle Area,0,,3,Sym,HS,Sym-HS,0,,,0
162,Snap-9686.czi,19.874,496.657,314,1866,314,65535,Symbiont Area,29.759,,3,Sym,HS,Sym-HS,0,,,29.75817923
