ID,plate,treatment,line,symbiosis,well,temp,day,day_cat,tent_count
CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),13,day_13,x
CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),14,day_14,x
CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),17,day_17,x
CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),20,day_20,x
CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),21,day_21,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),0,day_0,0
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),4,day_4,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),5,day_5,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),6,day_6,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),7,day_7,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),8,day_8,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),9,day_9,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),10,day_10,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),11,day_11,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),12,day_12,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),13,day_13,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),14,day_14,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),17,day_17,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),20,day_20,x
CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),21,day_21,x
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),0,day_0,0
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),4,day_4,0
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),5,day_5,0
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),6,day_6,2
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),7,day_7,4
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),8,day_8,4
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),9,day_9,4
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),10,day_10,4
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),11,day_11,4
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),12,day_12,7
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),13,day_13,8
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),14,day_14,8
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),17,day_17,x
