"Day","Contrast","Estimate","SE","df","t_ratio","p_value"
"0","(Sym-Control) - (Sym-HS)",-1.45661453788886,1.98255998946676,317,-0.734713978708226,"0.4630569"
"1","(Sym-Control) - (Sym-HS)",4.16984482702084,1.98255998946676,317,2.10326287687384,"0.0362306"
"5","(Sym-Control) - (Sym-HS)",7.87685812494425,2.10896205955791,317,3.7349453913815,"0.0002226"
"7","(Sym-Control) - (Sym-HS)",7.7927655527605,2.21656945295947,317,3.51568751538823,"0.0005026"
"9","(Sym-Control) - (Sym-HS)",6.86392416947171,2.14140953512871,317,3.20532997395996,"0.0014865"
"11","(Sym-Control) - (Sym-HS)",6.86654702708451,2.19663843020303,317,3.1259341240105,"0.0019365"
"13","(Sym-Control) - (Sym-HS)",15.2129129962324,2.20598910876402,317,6.89618681062118,"< 1e-04"
"14","(Sym-Control) - (Sym-HS)",18.0928028468237,2.44673681295535,317,7.39466654158439,"< 1e-04"
