marker,heat,time,state,emmean,SE,df,lower.CL,upper.CL,.group
Caspase,Control,2dpl,Apo,15.133666666666732,4.143935877902017,104,5.730262202413144,24.53707113092032,a
Caspase,Control,2dpl,Inoc,NA,NA,NA,NA,NA,
Caspase,Control,2dpl,Sym,13.40449999999996,2.9302051600667545,104,6.755288937086371,20.05371106291355,a
Caspase,Control,5dpl,Apo,5.207000000000006,3.58875374191691,104,-3.502184217017879,13.916184217017891,a
Caspase,Control,5dpl,Inoc,11.014750000000006,3.588753741916916,104,2.3055657829821072,19.723934217017906,a
Caspase,Control,5dpl,Sym,3.3595999999999733,2.2697271571819058,104,-2.1485717375533695,8.867771737553316,a
Caspase,Control,8dpl,Apo,9.387000000000006,2.9302051600667487,104,2.2759808641351666,16.498019135864844,ab
Caspase,Control,8dpl,Inoc,16.154999999999966,3.588753741916917,104,7.445815782982065,24.864184217017865,b
Caspase,Control,8dpl,Sym,1.327333333333331,2.9302051600667456,104,-5.783685802531501,8.438352469198163,a
Caspase,Control,14dpl,Apo,9.067400000000019,3.2098789285731835,104,1.277668824871899,16.85713117512814,a
Caspase,Control,14dpl,Inoc,2.906857142857131,2.712842833647039,104,-3.676667302993769,9.490381588708031,a
Caspase,Control,14dpl,Sym,0.7680000000000069,3.2098789285731852,104,-7.021731175128117,8.557731175128131,a
Caspase,Heat,2dpl,Apo,17.301833333333313,2.930205160066749,104,10.652622270419737,23.95104439624689,b
Caspase,Heat,2dpl,Inoc,NA,NA,NA,NA,NA,
Caspase,Heat,2dpl,Sym,3.1601666666666457,2.930205160066752,104,-3.4890443962469364,9.809377729580227,a
Caspase,Heat,5dpl,Apo,6.387599999999987,3.2098789285731852,104,-1.4021311751281376,14.17733117512811,a
Caspase,Heat,5dpl,Inoc,23.671333333333337,2.9302051600667465,104,16.560314197468504,30.78235246919817,b
Caspase,Heat,5dpl,Sym,4.655749999999977,2.5376321069180485,104,-1.5025732184562326,10.814073218456187,a
Caspase,Heat,8dpl,Apo,6.060500000000005,3.588753741916915,104,-2.648684217017893,14.769684217017902,a
Caspase,Heat,8dpl,Inoc,8.315799999999982,3.2098789285731826,104,0.5260688248718637,16.1055311751281,a
Caspase,Heat,8dpl,Sym,0.9928749999999713,2.5376321069180516,104,-5.165448218456246,7.151198218456188,a
Caspase,Heat,14dpl,Apo,18.646000000000022,3.588753741916916,104,9.936815782982123,27.35518421701792,b
Caspase,Heat,14dpl,Inoc,3.4967999999999995,3.2098789285731817,104,-4.292931175128116,11.286531175128115,a
Caspase,Heat,14dpl,Sym,17.8351111111111,2.3925024946112794,104,12.028988299765828,23.641233922456372,b
EdU,Control,2dpl,Apo,1.064666666666664,2.8984838390671435,101,-5.5154200582831585,7.6447533916164865,a
EdU,Control,2dpl,Inoc,NA,NA,NA,NA,NA,
EdU,Control,2dpl,Sym,3.88020000000001,2.245155927591688,101,-1.2167132604662472,8.977113260466268,a
EdU,Control,5dpl,Apo,6.003333333333337,2.8984838390671506,101,-1.034121051590839,13.040787718257514,a
EdU,Control,5dpl,Inoc,12.400750000000006,2.510160637090799,101,6.306135724681477,18.495364275318536,a
EdU,Control,5dpl,Sym,6.982200000000003,1.587564981221253,101,3.1276274859633855,10.836772514036621,a
EdU,Control,8dpl,Apo,8.83400000000002,2.2451559275916813,101,3.3828112734988833,14.285188726501154,ab
EdU,Control,8dpl,Inoc,11.6475,2.5101606370907983,101,5.552885724681474,17.742114275318528,b
EdU,Control,8dpl,Sym,2.0915000000000052,2.049537577763996,101,-2.884731717870875,7.067731717870886,a
EdU,Control,14dpl,Apo,7.0760000000000085,2.245155927591679,101,1.624811273498878,12.527188726501139,a
EdU,Control,14dpl,Inoc,2.1508571428571495,1.897503084733054,101,-2.456238202673399,6.757952488387698,a
EdU,Control,14dpl,Sym,3.773000000000004,2.2451559275916804,101,-1.67818872650113,9.224188726501138,a
EdU,Heat,2dpl,Apo,11.771666666666675,2.049537577764001,101,7.118842722659061,16.42449061067429,b
EdU,Heat,2dpl,Inoc,NA,NA,NA,NA,NA,
EdU,Heat,2dpl,Sym,4.7431666666666725,2.0495375777640015,101,0.09034272265905763,9.395990610674287,a
EdU,Heat,5dpl,Apo,9.667400000000011,2.245155927591682,101,4.216211273498873,15.11858872650115,a
EdU,Heat,5dpl,Inoc,21.621400000000033,2.245155927591678,101,16.170211273498904,27.072588726501163,b
EdU,Heat,5dpl,Sym,6.762750000000008,1.7749516083544534,101,2.453206917205928,11.072293082794086,a
EdU,Heat,8dpl,Apo,9.821000000000026,2.5101606370907987,101,3.7263857246814984,15.915614275318553,a
EdU,Heat,8dpl,Inoc,11.548000000000018,2.2451559275916795,101,6.0968112734988855,16.99918872650115,a
EdU,Heat,8dpl,Sym,4.869500000000011,1.7749516083544468,101,0.5599569172059473,9.179043082794074,a
EdU,Heat,14dpl,Apo,10.249500000000014,2.510160637090796,101,4.154885724681492,16.344114275318535,a
EdU,Heat,14dpl,Inoc,5.819833333333348,2.0495375777639984,101,0.8436016154624619,10.796065051204234,a
EdU,Heat,14dpl,Sym,6.863222222222231,1.6734404247271963,101,2.8001460386765524,10.92629840576791,a
