marker,state,time,heat,emmean,SE,df,lower.CL,upper.CL,.group
EdU,Apo,2dpl,Control,1.0646666666666529,3.102387779860139,27,-6.280840225712179,8.410173559045486,a
EdU,Apo,2dpl,Heat,11.771666666666667,2.1937194370093813,27,6.577608931813073,16.965724401520262,b
EdU,Apo,5dpl,Control,6.00333333333333,3.102387779860138,27,-1.3421735590455004,13.348840225712161,a
EdU,Apo,5dpl,Heat,9.667400000000002,2.4030992409751444,27,3.9775948272729984,15.357205172727006,a
EdU,Apo,8dpl,Control,8.833999999999996,2.403099240975143,27,3.1441948272729947,14.523805172726998,a
EdU,Apo,8dpl,Heat,9.821000000000003,2.6867466297492846,27,3.4596044275262487,16.18239557247376,a
EdU,Apo,14dpl,Control,7.075999999999997,2.4030992409751426,27,1.3861948272729974,12.765805172726996,a
EdU,Apo,14dpl,Heat,10.2495,2.6867466297492832,27,3.8881044275262475,16.61089557247375,a
EdU,Inoc,5dpl,Control,12.400750000000015,2.5369038228527243,25,6.365917634977791,18.43558236502224,a
EdU,Inoc,5dpl,Heat,21.621400000000005,2.2690757601111105,25,16.2236818395978,27.01911816040221,b
EdU,Inoc,8dpl,Heat,11.548000000000004,2.2690757601111105,25,6.150281839597797,16.94571816040221,a
EdU,Inoc,8dpl,Control,11.647500000000003,2.5369038228527243,25,5.612667634977779,17.682332365022226,a
EdU,Inoc,14dpl,Control,2.150857142857154,1.9177190329592475,25,-2.4110473262321515,6.712761611946459,a
EdU,Inoc,14dpl,Heat,5.819833333333339,2.0713732975017263,25,0.8924133408207124,10.747253325845964,a
EdU,Sym,2dpl,Control,3.880199999999993,2.140349475363625,49,-1.0576435212879387,8.818043521287926,a
EdU,Sym,2dpl,Heat,4.743166666666664,1.9538628143350072,49,0.23555286326643188,9.250780470066896,a
EdU,Sym,5dpl,Heat,6.7627500000000005,1.692094832723876,49,2.859041935806001,10.666458064194,a
EdU,Sym,5dpl,Control,6.9822000000000015,1.5134556281386886,49,3.490617361659244,10.473782638340758,a
EdU,Sym,8dpl,Control,2.091499999999998,1.9538628143350076,49,-2.4161138034002354,6.599113803400232,a
EdU,Sym,8dpl,Heat,4.869499999999999,1.6920948327238752,49,0.9657919358060014,8.773208064193996,a
EdU,Sym,14dpl,Control,3.7729999999999997,2.1403494753636227,49,-1.164843521287927,8.710843521287927,a
EdU,Sym,14dpl,Heat,6.86322222222222,1.595322307506358,49,3.182770963603306,10.543673480841132,a
Caspase,Apo,2dpl,Control,15.133666666666663,5.195900241602958,29,2.880783957563537,27.38654937576979,a
Caspase,Apo,2dpl,Heat,17.301833333333338,3.674056295206272,29,8.637736880643123,25.96592978602355,a
Caspase,Apo,5dpl,Control,5.206999999999992,4.499781604757864,29,-5.40430769567441,15.818307695674394,a
Caspase,Apo,5dpl,Heat,6.387599999999988,4.024727020856668,29,-3.1034421350778523,15.878642135077829,a
Caspase,Apo,8dpl,Heat,6.060499999999994,4.499781604757862,29,-4.550807695674402,16.67180769567439,a
Caspase,Apo,8dpl,Control,9.386999999999999,3.674056295206274,29,0.7229035473097785,18.051096452690217,a
Caspase,Apo,14dpl,Control,9.0674,4.0247270208566706,29,-0.42364213507784676,18.558442135077847,a
Caspase,Apo,14dpl,Heat,18.646,4.4997816047578665,29,8.034692304325594,29.257307695674406,a
Caspase,Inoc,5dpl,Control,11.014750000000005,3.4946479830456116,25,2.7016186299947282,19.32788137000528,a
Caspase,Inoc,5dpl,Heat,23.67133333333333,2.853368129702716,25,16.883689992921,30.45897667374566,b
Caspase,Inoc,8dpl,Heat,8.3158,3.1257081790090084,25,0.880309260312897,15.751290739687102,a
Caspase,Inoc,8dpl,Control,16.155,3.4946479830456125,25,7.841868629994723,24.46813137000528,a
Caspase,Inoc,14dpl,Control,2.906857142857147,2.641705566529188,25,-3.377279491783894,9.19099377749819,a
Caspase,Inoc,14dpl,Heat,3.496800000000004,3.1257081790090093,25,-3.938690739687101,10.932290739687108,a
Caspase,Sym,2dpl,Heat,3.1601666666666706,2.4411058759850057,50,-2.4679844732214384,8.78831780655478,a
Caspase,Sym,2dpl,Control,13.404500000000004,2.4411058759850075,50,7.776348860111891,19.032651139888117,b
Caspase,Sym,5dpl,Control,3.35960000000002,1.890872480803798,50,-0.9999471269449653,7.719147126945005,a
Caspase,Sym,5dpl,Heat,4.655750000000001,2.114059701930482,50,-0.2183718634814502,9.529871863481453,a
Caspase,Sym,8dpl,Heat,0.9928750000000104,2.114059701930481,50,-3.881246863481439,5.86699686348146,a
Caspase,Sym,8dpl,Control,1.327333333333348,2.441105875985004,50,-4.300817806554757,6.9554844732214525,a
Caspase,Sym,14dpl,Control,0.7679999999999918,2.6740975070707926,50,-5.397330672730271,6.933330672730254,a
Caspase,Sym,14dpl,Heat,17.835111111111104,1.9931546014243382,50,13.239744948447981,22.430477273774226,b
